"sample_name","directory"
"106-1-1","xqm2"
"106-1-2","xqm2"
"106-3-1","xqm2"
"106-3-2","xqm2"
"108-3-1","xqm2"
"108-3-2","xqm2"
"108-9-1","xqm2"
"108-9-2","xqm2"
"929-2-1","xqm2"
"929-2-2","xqm2"
"929-5-1","xqm2"
"929-5-2","xqm2"
"106-2-1","xqm3"
"106-2-2","xqm3"
"106-4-1","xqm3"
"106-4-2","xqm3"
"108-1-1","xqm3"
"108-1-2","xqm3"
"108-2-1","xqm3"
"108-2-2","xqm3"
"108-6-1","xqm3"
"108-6-2","xqm3"
"108-7-1","xqm3"
"108-7-2","xqm3"
"201007-4-1","xqm4"
"201007-4-2","xqm4"
"201007-5-1","xqm4"
"201007-5-2","xqm4"
"201007-7-1","xqm4"
"201007-7-2","xqm4"
"201017-3-1","xqm4"
"201017-3-2","xqm4"
"201106-10-1","xqm4"
"201106-10-2","xqm4"
"201106-11-1","xqm4"
"201106-11-2","xqm4"
"201107-2-1","xqm4"
"201107-2-2","xqm4"
"201107-4-1","xqm4"
"201107-4-2","xqm4"
"201107-6-1","xqm4"
"201107-6-2","xqm4"
"201107-7-1","xqm4"
"201107-7-2","xqm4"
"201107-8-1","xqm4"
"201107-8-2","xqm4"
